module,skill,display-name,menu-code,description,action,args,phase,preceded-by,followed-by,required,output-location,outputs
BMAD Loop Skills,bmad-loop-setup,Setup Loop Module,SA,Install or update BMAD Loop module config and help entries.,configure,{-H: headless mode},anytime,,,false,{project-root}/_bmad,config.yaml entries
BMAD Loop Skills,bmad-loop-sweep,Sweep Triage,ST,Read-only triage of the deferred-work ledger into a machine-readable partition. Automation-only; bmad-loop sweep invokes it.,triage,{--feedback path},anytime,,,false,implementation_artifacts,result.json triage plan
RegCM5 HPC DevOps,hpc-dev-agent-code-comprehension,Talk to Gaspare (Code Comprehension),TE,Reads and explains RegCM5 source; answers developer questions; never modifies code.,converse,,anytime,,,false,,explanations and call-graph traces
RegCM5 HPC DevOps,hpc-dev-agent-hpc-software-developer,Talk to Jacopo (HPC Software Developer),RE,Writes/modifies modern Fortran for RegCM5 on HPC infrastructure; consults $HPCDOCS before environment-specific code.,converse,,anytime,,,false,,code diff and acceptance record
RegCM5 HPC DevOps,hpc-dev-agent-profiler,Talk to Lorenzo (Profiler),VE,Captures reproducible perf/Nsight/FlameGraph profiling evidence and hotspot reports.,converse,,1-evidence,,hpc-dev-evidence-baseline:run,false,FAST_BASELINE_ROOT,profiling artifacts
RegCM5 HPC DevOps,hpc-dev-agent-gpu-porting,Talk to Dario (GPU Porting),DA,"Decides GPU-port candidacy, ports via do-concurrent/OpenACC, validates against the tolerance policy.",converse,,3-porting-io,hpc-dev-evidence-baseline:run,hpc-dev-gpu-port-candidacy:run,false,,port decision and validated code
RegCM5 HPC DevOps,hpc-dev-agent-build-portability,Talk to Franco (Build Portability),EL,Keeps the GNU/Intel/NVHPC build matrix green; implements I/O opt-in namelist switches.,converse,,2-build-portability,,hpc-dev-cross-vendor-build-verification:run,false,,build matrix status
RegCM5 HPC DevOps,hpc-dev-agent-ci-container,Talk to Giacomo (CI/Container),NA,Packages builds into devel/runtime NVHPC containers; maintains the GitHub Actions pipeline.,converse,,4-ci-container,hpc-dev-cross-vendor-build-verification:run,,false,,container images and CI status
RegCM5 HPC DevOps,hpc-dev-evidence-baseline,Capture Profiling Baseline,EB,Captures a reproducible perf/Nsight/FlameGraph profiling run for a routine or configuration.,run,[routine/config] [partition] [nodes],1-evidence,,"hpc-dev-gpu-port-candidacy:run,hpc-dev-io-scaling-diagnosis:run",false,FAST_BASELINE_ROOT,profiling artifacts + manifest entry
RegCM5 HPC DevOps,hpc-dev-io-scaling-diagnosis,Diagnose I/O Scaling,IO,Diagnoses an I/O bottleneck by output path and implements an opt-in parallel-I/O namelist switch.,run,[output-path],3-porting-io,hpc-dev-evidence-baseline:run,,false,,timing report + namelist switch patch
RegCM5 HPC DevOps,hpc-dev-gpu-port-candidacy,Evaluate/Port/Validate GPU Candidacy,GP,"Go/no-go, port, and validate a routine for GPU acceleration.",run,[routine],3-porting-io,hpc-dev-evidence-baseline:run,,false,,go/no-go verdict + ported/validated routine
RegCM5 HPC DevOps,hpc-dev-cross-vendor-build-verification,Verify Build Matrix,CV,Builds and reports GNU + Intel + NVHPC(managed) + NVHPC(stdpar) for a branch/commit.,run,[branch/commit],2-build-portability,,"hpc-dev-containerization-release:run,hpc-dev-ci-guardrail-pipeline:run",false,,pass/fail matrix report
RegCM5 HPC DevOps,hpc-dev-containerization-release,Build Containers,CR,Builds devel/runtime multi-stage NVHPC container images from a verified build.,run,,4-ci-container,hpc-dev-cross-vendor-build-verification:run,,false,,devel + runtime container images
RegCM5 HPC DevOps,hpc-dev-ci-guardrail-pipeline,Maintain CI Pipeline,CG,Defines/maintains the GitHub Actions build+regression-smoke-test workflow.,run,,4-ci-container,hpc-dev-cross-vendor-build-verification:run,,false,,.github/workflows CI config
